line,station,query,lat,lng,success
JR上越線,群馬総社,JR上越線 群馬総社駅,36.4158198,139.0323929,True
JR上越線,八木原,JR上越線 八木原駅,36.4635627,139.0191274,True
JR上越線,渋川,JR上越線 渋川駅,36.4913217,139.0087977,True
JR上越線,敷島,JR上越線 敷島駅,36.53865529999999,139.0339521,True
JR上越線,津久田,JR上越線 津久田駅,36.5610369,139.0428197,True
JR上越線,岩本,JR上越線 岩本駅,36.6031556,139.0471395,True
JR上越線,沼田,JR上越線 沼田駅,36.6424996,139.0356225,True
JR上越線,後閑,JR上越線 後閑駅,36.67955,138.9999852,True
JR上越線,上牧,JR上越線 上牧,37.1478952,138.236135,True
JR上越線,水上,JR上越線 水上駅,36.778636,138.9688398,True
JR上越線,湯檜曽,JR上越線 湯檜曽駅,36.80271159999999,138.9865917,True
JR上越線,土合,JR上越線 土合駅,36.8313766,138.9670159,True
JR上越線,土樽,JR上越線 土樽駅,36.8752738,138.8617668,True
JR上越線,越後中里,JR上越線 越後中里駅,36.9104083,138.8484887,True
JR上越線,岩原スキー場前,JR上越線 岩原スキー場前駅,36.9243542,138.8393796,True
JR上越線,越後湯沢,JR上越線 越後湯沢駅,36.9359839,138.8096335,True
JR上越線,石打,JR上越線 石打駅,36.9889814,138.8041559,True
JR上越線,大沢,JR上越線 大沢駅,37.0212004,138.821292,True
JR上越線,上越国際スキー場前,JR上越線 上越国際スキー場前駅,37.0290052,138.8278744,True
JR上越線,塩沢,JR上越線 塩沢駅,37.041398,138.848529,True
JR上越線,六日町,JR上越線 六日町駅,37.0666966,138.8755353,True
JR上越線,五日町,JR上越線 五日町駅,37.1199136,138.9083913,True
JR上越線,浦佐,JR上越線 浦佐駅,37.1674363,138.9228047,True
JR上越線,八色,JR上越線 八色駅,37.1917672,138.9350526,True
JR上越線,小出,JR上越線 小出駅,37.2335129,138.953577,True
JR上越線,越後堀之内,JR上越線 越後堀之内駅,37.2389283,138.9282179,True
JR上越線,北堀之内,JR上越線 北堀之内駅,37.2557032,138.8961922,True
JR上越線,越後川口,JR上越線 越後川口駅,37.2730892,138.8615833,True
JR上越線,小千谷,JR上越線 小千谷駅,37.3096392,138.8135304,True
JR上越線,越後滝谷,JR上越線 越後滝谷駅,37.3686885,138.8349149,True
JR上越線,宮内,JR上越線 宮内駅,37.4220992,138.8402455,True
JR上越線,長岡,JR上越線 長岡駅,37.448014,138.8540468,True
JR両毛線,前橋大島,JR両毛線 前橋大島駅,36.3705444,139.1096538,True
JR両毛線,駒形,JR両毛線 駒形駅,36.3541186,139.1393199,True
JR両毛線,国定,JR両毛線 国定駅,36.358843,139.2421164,True
JR両毛線,岩宿,JR両毛線 岩宿駅,36.3958681,139.2972768,True
JR両毛線,桐生,JR両毛線 桐生駅,36.4110162,139.3331401,True
JR両毛線,小俣,JR両毛線 小俣駅,36.375067,139.3743266,True
JR両毛線,山前,JR両毛線 山前駅,36.3474045,139.411269,True
JR両毛線,足利,JR両毛線 足利駅,36.3318241,139.455877,True
JR両毛線,あしかがフラワーパーク,JR両毛線 あしかがフラワーパーク駅,36.315106,139.518445,True
JR両毛線,富田,JR両毛線 富田駅,36.3161612,139.5289824,True
JR両毛線,佐野,JR両毛線 佐野駅,36.3168661,139.57884,True
JR両毛線,岩舟,JR両毛線 岩舟駅,36.326739,139.65768,True
JR両毛線,大平下,JR両毛線 大平下駅,36.3442912,139.6975969,True
JR両毛線,思川,JR両毛線 思川駅,36.3510808,139.7810983,True
JR中央本線,上野原,JR中央本線 上野原駅,35.6188568,139.1160605,True
JR中央本線,四方津,JR中央本線 四方津駅,35.614303,139.0728002,True
JR中央本線,梁川,JR中央本線 梁川駅,35.6053989,139.0382207,True
JR中央本線,鳥沢,JR中央本線 鳥沢駅,35.608283,139.0032412,True
JR中央本線,猿橋,JR中央本線 猿橋駅,35.612806,138.9680999,True
JR中央本線,大月,JR中央本線 大月駅,35.6132125,138.9427266,True
JR中央本線,初狩,JR中央本線 初狩駅,35.5946216,138.8844431,True
JR中央本線,笹子,JR中央本線 笹子駅,35.6041451,138.8270688,True
JR中央本線,甲斐大和,JR中央本線 甲斐大和駅,35.6396216,138.7804532,True
JR中央本線,勝沼ぶどう郷,JR中央本線 勝沼ぶどう郷駅,35.6724373,138.7430054,True
JR中央本線,塩山,JR中央本線 塩山駅,35.7054135,138.7346248,True
JR中央本線,東山梨,JR中央本線 東山梨駅,35.6942577,138.7028252,True
JR中央本線,山梨市,JR中央本線 山梨市駅,35.6849321,138.6834355,True
JR中央本線,春日居町,JR中央本線 春日居町駅,35.6738052,138.6592611,True
JR中央本線,石和温泉,JR中央本線 石和温泉駅,35.6576641,138.6352719,True
JR中央本線,酒折,JR中央本線 酒折駅,35.6594887,138.5991941,True
JR中央本線,甲府,JR中央本線 甲府駅,35.666674,138.5687848,True
JR中央本線,竜王,JR中央本線 竜王駅,35.6687593,138.5197473,True
JR中央本線,塩崎,JR中央本線 塩崎駅,35.6877985,138.4877787,True
JR中央本線,韮崎,JR中央本線 韮崎駅,35.7103837,138.4509603,True
JR中央本線,新府,JR中央本線 新府駅,35.7371986,138.433367,True
JR中央本線,穴山,JR中央本線 穴山駅,35.7511399,138.4142931,True
JR中央本線,日野春,JR中央本線 日野春駅,35.7900483,138.3947115,True
JR中央本線,長坂,JR中央本線 長坂駅,35.8273971,138.3669062,True
JR中央本線,小淵沢,JR中央本線 小淵沢駅,35.8636976,138.3161057,True
JR中央本線,信濃境,JR中央本線 信濃境駅,35.8849269,138.2754132,True
JR中央本線,富士見,JR中央本線 富士見駅,35.9122284,138.2378598,True
JR中央本線,すずらんの里,JR中央本線 すずらんの里駅,35.9305312,138.2117225,True
JR中央本線,青柳,JR中央本線 青柳駅,35.9428072,138.1974177,True
JR中央本線,茅野,JR中央本線 茅野駅,35.9948,138.152503,True
JR中央本線,上諏訪,JR中央本線 上諏訪駅,36.0467933,138.1162817,True
JR中央本線,下諏訪,JR中央本線 下諏訪駅,36.071984,138.0850612,True
JR中央本線,岡谷,JR中央本線 岡谷駅,36.0567409,138.0446108,True
JR中央本線,みどり湖,JR中央本線 みどり湖駅,36.0942844,137.9818749,True
JR中央本線,塩尻,JR中央本線 塩尻駅,36.1143325,137.9478588,True
JR久留里線,久留里,JR久留里線 久留里駅,35.29586949999999,140.0757362,True
JR久留里線,上総亀山,JR久留里線 上総亀山,34.855829,136.4515719,True
JR京葉線,幕張豊砂（2023年3月18日開業）,JR京葉線 幕張豊砂（2023年3月18日開業）駅,35.6580566,140.0270059,True
JR信越本線（群馬県）,北高崎,JR信越本線（群馬県） 北高崎駅,36.3384778,139.0024712,True
JR信越本線（群馬県）,群馬八幡,JR信越本線（群馬県） 群馬八幡駅,36.3378688,138.9574643,True
JR信越本線（群馬県）,安中,JR信越本線（群馬県） 安中駅,36.3317906,138.9136112,True
JR信越本線（群馬県）,磯部,JR信越本線（群馬県） 磯部駅,36.2985126,138.8494417,True
JR信越本線（群馬県）,松井田,JR信越本線（群馬県） 松井田駅,36.3095938,138.7974474,True
JR信越本線（群馬県）,西松井田,JR信越本線（群馬県） 西松井田駅,36.3095938,138.7974474,True
JR信越本線（群馬県）,横川,JR信越本線（群馬県） 横川駅,36.3363317,138.737046,True
JR内房線,巌根,JR内房線 巌根駅,35.414552,139.933679,True
JR内房線,千歳,JR内房線 千歳駅,34.9912662,139.9661377,True
JR内房線,南三原,JR内房線 南三原駅,35.0211799,139.9790243,True
JR内房線,和田浦,JR内房線 和田浦駅,35.0416787,140.0197423,True
JR外房線,行川アイランド,JR外房線 行川アイランド駅,35.1182313,140.225972,True
JR宇都宮線,黒磯,JR宇都宮線 黒磯駅,36.9699004,140.0594458,True
JR宇都宮線,西那須野,JR宇都宮線 西那須野駅,36.8843805,139.9867256,True
JR宇都宮線,野崎,JR宇都宮線 野崎駅,36.84375720000001,139.9577286,True
JR宇都宮線,小金井,JR宇都宮線 小金井駅,36.3743489,139.8420524,True
JR常磐線,仙台,JR常磐線 仙台駅,38.2601316,140.8824375,True
JR常磐線,長町,JR常磐線 長町駅,38.2268376,140.8855833,True
JR常磐線,太子堂,JR常磐線 太子堂駅,38.2182318,140.8834208,True
JR常磐線,南仙台,JR常磐線 南仙台駅,38.19734529999999,140.8835884,True
JR常磐線,名取,JR常磐線 名取駅,38.1731665,140.882873,True
JR常磐線,館腰,JR常磐線 館腰駅,38.1431015,140.8801468,True
JR常磐線,岩沼,JR常磐線 岩沼駅,38.1119075,140.8641585,True
JR常磐線,逢隈,JR常磐線 逢隈駅,38.067236,140.8547825,True
JR常磐線,亘理,JR常磐線 亘理駅,38.0398906,140.8612644,True
JR常磐線,浜吉田,JR常磐線 浜吉田駅,38.0022569,140.8900692,True
JR常磐線,坂元,JR常磐線 坂元駅,37.9243307,140.9009363,True
JR常磐線,新地,JR常磐線 新地駅,37.879427,140.9254572,True
JR常磐線,駒ケ嶺,JR常磐線 駒ケ嶺駅,37.8422485,140.9251292,True
JR常磐線,相馬,JR常磐線 相馬駅,37.7970426,140.9190868,True
JR常磐線,日立木,JR常磐線 日立木駅,37.75611980000001,140.9347157,True
JR常磐線,鹿島,JR常磐線 鹿島駅,37.7028769,140.9700484,True
JR常磐線,原ノ町,JR常磐線 原ノ町駅,37.638134,140.970968,True
JR常磐線,磐城太田,JR常磐線 磐城太田駅,37.6051665,140.9914955,True
JR常磐線,小高,JR常磐線 小高駅,37.562727,140.9961915,True
JR常磐線,桃内,JR常磐線 桃内駅,37.5284806,140.9841663,True
JR常磐線,浪江,JR常磐線 浪江駅,37.4923182,140.9895564,True
JR常磐線,双葉,JR常磐線 双葉駅,37.4540453,141.0058345,True
JR常磐線,大野,JR常磐線 大野駅,37.4093275,140.9841995,True
JR常磐線,夜ノ森,JR常磐線 夜ノ森駅,37.3659741,140.992407,True
JR常磐線,富岡,JR常磐線 富岡駅,37.3352399,141.0223364,True
JR常磐線,竜田,JR常磐線 竜田駅,37.282648,141.0028425,True
JR常磐線,木戸,JR常磐線 木戸駅,37.258012,141.0024826,True
JR常磐線,Jヴィレッジ,JR常磐線 Jヴィレッジ駅,37.24318410000001,141.0077493,True
JR常磐線,広野,JR常磐線 広野駅,37.2116282,140.9986516,True
JR常磐線,末続,JR常磐線 末続駅,37.1723271,140.9955426,True
JR常磐線,久ノ浜,JR常磐線 久ノ浜駅,37.1425805,140.9956828,True
JR常磐線,四ツ倉,JR常磐線 四ツ倉駅,37.1023624,140.9807414,True
JR常磐線,草野,JR常磐線 草野駅,37.0738924,140.9472177,True
JR常磐線,いわき,JR常磐線 いわき駅,37.058174,140.8920926,True
JR常磐線,内郷,JR常磐線 内郷駅,37.0359774,140.8548939,True
JR常磐線,湯本,JR常磐線 湯本駅,37.0069806,140.8497845,True
JR常磐線,泉,JR常磐線 泉駅,36.9555017,140.8541501,True
JR常磐線,植田,JR常磐線 植田駅,36.9204611,140.7964596,True
JR常磐線,勿来,JR常磐線 勿来駅,36.883354,140.7871564,True
JR常磐線,佐貫,JR常磐線 佐貫駅,35.9300659,140.1382285,True
JR御殿場線,駿河小山,JR御殿場線 駿河小山駅,35.3587061,138.9988435,True
JR御殿場線,御殿場,JR御殿場線 御殿場駅,35.3001232,138.9340564,True
JR御殿場線,南御殿場,JR御殿場線 南御殿場駅,35.2770906,138.9254826,True
JR御殿場線,富士岡,JR御殿場線 富士岡駅,35.2561129,138.920259,True
JR御殿場線,岩波,JR御殿場線 岩波駅,35.2159078,138.9190635,True
JR御殿場線,裾野,JR御殿場線 裾野駅,35.1718434,138.9093246,True
JR御殿場線,長泉なめり,JR御殿場線 長泉なめり駅,35.147573,138.899368,True
JR御殿場線,下土狩,JR御殿場線 下土狩駅,35.1295352,138.8952821,True
JR御殿場線,大岡,JR御殿場線 大岡駅,35.1158159,138.8808396,True
JR御殿場線,沼津,JR御殿場線 沼津駅,35.1026494,138.8598006,True
JR日光線,鶴田,JR日光線 鶴田駅,36.5383394,139.858806,True
JR日光線,鹿沼,JR日光線 鹿沼駅,36.5712219,139.7629795,True
JR日光線,文挟,JR日光線 文挟駅,36.6376579,139.7280075,True
JR日光線,下野大沢,JR日光線 下野大沢駅,36.6859303,139.7326717,True
JR日光線,今市,JR日光線 今市駅,36.7207853,139.686834,True
JR日光線,日光,JR日光線 日光駅,36.74744800000001,139.62204,True
JR東海道線,熱海,JR東海道線 熱海駅,35.1038422,139.0778841,True
JR水戸線,小田林,JR水戸線 小田林駅,36.3007551,139.8535664,True
JR水戸線,結城,JR水戸線 結城駅,36.2982229,139.8723709,True
JR水戸線,東結城,JR水戸線 東結城駅,36.2966177,139.8913134,True
JR水戸線,川島,JR水戸線 川島駅,36.2960144,139.9160409,True
JR水戸線,玉戸,JR水戸線 玉戸駅,36.298591,139.9385871,True
JR水戸線,下館,JR水戸線 下館駅,36.3043842,139.9786648,True
JR水戸線,新治,JR水戸線 新治駅,36.3279516,140.0391328,True
JR水戸線,岩瀬,JR水戸線 岩瀬駅,36.3595884,140.1082705,True
JR水戸線,羽黒,JR水戸線 羽黒駅,36.3552847,140.1429562,True
JR水戸線,福原,JR水戸線 福原駅,36.3515363,140.1872026,True
JR水戸線,稲田,JR水戸線 稲田駅,36.3685442,140.2142141,True
JR水戸線,笠間,JR水戸線 笠間駅,36.3733017,140.246142,True
JR水戸線,宍戸,JR水戸線 宍戸駅,36.344614,140.2893598,True
JR湘南新宿ライン（宇都宮線・横須賀線）,西大井駅,西大井駅駅,35.60179189999999,139.7218021,True
JR烏山線,下野花岡,JR烏山線 下野花岡駅,36.6499975,140.0086774,True
JR烏山線,仁井田,JR烏山線 仁井田駅,36.6572751,140.0295642,True
JR烏山線,鴻野山,JR烏山線 鴻野山駅,36.6665246,140.0519507,True
JR烏山線,大金,JR烏山線 大金駅,36.6563048,140.0956697,True
JR烏山線,小塙,JR烏山線 小塙駅,36.6431957,140.1166129,True
JR烏山線,滝,JR烏山線 滝駅,36.6485846,140.1381941,True
JR烏山線,烏山,JR烏山線 烏山駅,36.6504168,140.1549742,True
JR青梅線,白丸,JR青梅線 白丸駅,35.811707,139.114761,True
JR青梅線,奥多摩,JR青梅線 奥多摩駅,35.809374,139.096929,True
JR鶴見線,海芝浦,JR鶴見線 海芝浦駅,35.485901,139.7003867,True
JR鹿島線,鹿島サッカースタジアム（臨）,JR鹿島線 鹿島サッカースタジアム（臨）駅,35.9921725,140.636263,True
ディズニーリゾートライン,リゾートゲートウェイ・ステーション,ディズニーリゾートライン リゾートゲートウェイ・ステーション駅,35.6351088,139.8852855,True
ディズニーリゾートライン,東京ディズニーランド・ステーション,ディズニーリゾートライン 東京ディズニーランド・ステーション駅,35.6358863,139.8786472,True
ディズニーリゾートライン,ベイサイド・ステーション,ディズニーリゾートライン ベイサイド・ステーション駅,35.6279149,139.8767588,True
ディズニーリゾートライン,東京ディズニーシー・ステーション,ディズニーリゾートライン 東京ディズニーシー・ステーション駅,35.6273876,139.8895355,True
京急大師線,産業道路,京急大師線 産業道路駅,35.536727,139.740635,True
京急本線,花月園前,京急本線 花月園前駅,35.500456,139.6729925,True
京急本線,仲木戸,京急本線 仲木戸駅,35.4772739,139.6343656,True
京急空港線,羽田空港第3ターミナル,京急空港線 羽田空港第3ターミナル駅,35.5446693,139.7676181,True
京急空港線,羽田空港第1・第2ターミナル,京急空港線 羽田空港第1・第2ターミナル駅,35.5499709,139.786427,True
京急逗子線,新逗子,京急逗子線 新逗子駅,35.2959112,139.5812162,True
京成成田空港線,新鎌ヶ谷,京成成田空港線 新鎌ヶ谷駅,35.779401,139.998853,True
京成成田空港線,空港第２ビル（第２・第３旅客ターミナル）,京成成田空港線 空港第２ビル（第２・第３旅客ターミナル）駅,35.7731182,140.3871838,True
京成成田空港線,成田空港（第１旅客ターミナル）,京成成田空港線 成田空港（第１旅客ターミナル）駅,35.7647224,140.38487,True
京成押上線,押上（スカイツリー前）,京成押上線 押上（スカイツリー前）駅,35.710332,139.8132971,True
京成本線,成田空港（第１旅客ターミナル）,京成本線 成田空港（第１旅客ターミナル）駅,35.7647224,140.38487,True
京成本線,空港第２ビル（第２・第３旅客ターミナル）,京成本線 空港第２ビル（第２・第３旅客ターミナル）駅,35.7731182,140.3871838,True
北総鉄道北総線,新鎌ヶ谷,北総鉄道北総線 新鎌ヶ谷駅,35.779401,139.998853,True
新京成線,新鎌ヶ谷,新京成線 新鎌ヶ谷駅,35.779401,139.998853,True
東京モノレール,羽田空港第3ターミナル,東京モノレール 羽田空港第3ターミナル駅,35.5442587,139.7683199,True
東京モノレール,羽田空港第1ターミナル,東京モノレール 羽田空港第1ターミナル駅,35.5491383,139.7847121,True
東京モノレール,羽田空港第2ターミナル,東京モノレール 羽田空港第2ターミナル駅,35.55070020000001,139.7879961,True
東急田園都市線,南町田,東急田園都市線 南町田駅,35.5114471,139.4706636,True
東武伊勢崎線,押上〈スカイツリー前〉,東武伊勢崎線 押上〈スカイツリー前〉駅,35.7113453,139.8150661,True
東武伊勢崎線,獨協大学前〈草加松原〉,東武伊勢崎線 獨協大学前〈草加松原〉駅,35.8432776,139.8006731,True
東武佐野線,渡瀬,東武佐野線 渡瀬駅,36.2617458,139.5369097,True
東武佐野線,田島,東武佐野線 田島駅,36.2905805,139.564951,True
東武佐野線,佐野市,東武佐野線 佐野市駅,36.3060632,139.5751518,True
東武佐野線,佐野,東武佐野線 佐野駅,36.3168661,139.57884,True
東武佐野線,堀米,東武佐野線 堀米駅,36.3279561,139.5801658,True
東武佐野線,吉水,東武佐野線 吉水駅,36.34554809999999,139.579588,True
東武佐野線,田沼,東武佐野線 田沼駅,36.3669524,139.5815936,True
東武佐野線,多田,東武佐野線 多田駅,36.3782342,139.5932196,True
東武佐野線,葛生,東武佐野線 葛生駅,36.3981424,139.6089603,True
東武宇都宮線,野州平川,東武宇都宮線 野州平川駅,36.401743,139.753895,True
東武宇都宮線,野州大塚,東武宇都宮線 野州大塚駅,36.408824,139.7726244,True
東武宇都宮線,壬生,東武宇都宮線 壬生駅,36.42295319999999,139.8050711,True
東武宇都宮線,国谷,東武宇都宮線 国谷駅,36.451622,139.823727,True
